Price,Promotional_Price,Url
"649,-","599,-",https://www.coolblue.nl/en/product/812954/lenovo-ideapad-330-17ikbr-81dm0021mh.html
"979,-","849,-",https://www.coolblue.nl/en/product/813341/asus-zenbook-ux430ua-gv534t.html
,"749,-",https://www.coolblue.nl/en/product/819385/acer-aspire-5-a515-52g-53y9.html
"1.099,-","999,-",https://www.coolblue.nl/en/product/813067/hp-pavilion-g15-cx0830nd.html
"469,-","449,-",https://www.coolblue.nl/en/product/813158/hp-15-db0930nd.html
,"719,-",https://www.coolblue.nl/en/product/824065/hp-14-ck1950nd.html
,"1.479,-",https://www.coolblue.nl/en/product/822534/apple-macbook-air-13-3-inches-2018-mre92n-a-space-gray.html
"699,-","599,-",https://www.coolblue.nl/en/product/824066/hp-15-da1956nd.html
"1.299,-","1.249,-",https://www.coolblue.nl/en/product/813100/hp-envy-x360-15-cn0300nd.html
"1.299,-","1.249,-",https://www.coolblue.nl/en/product/813079/hp-pavilion-17-ab497nd.html
"879,-","799,-",https://www.coolblue.nl/en/product/812956/lenovo-ideapad-330-17ikbr-81dm0023mh.html
,"829,-",https://www.coolblue.nl/en/product/813177/hp-17-by0958nd.html
"1.049,-","949,-",https://www.coolblue.nl/en/product/824070/hp-pavilion-15-cs1975nd.html
,"2.846,65",https://www.coolblue.nl/en/product/816392/apple-macbook-pro-15-inches-touch-bar-2018-mr942n-a-space-gray.html
"1.249,-","1.199,-",https://www.coolblue.nl/en/product/822533/apple-macbook-air-13-3-inches-2018-mre82n-a-space-gray.html
,"1.129,-",https://www.coolblue.nl/en/product/813344/asus-zenbook-ux430ua-gv535t.html
"199,-","179,-",https://www.coolblue.nl/en/product/788396/acer-aspire-es1-132-c2jz.html
"1.799,-","1.649,-",https://www.coolblue.nl/en/product/813072/hp-omen-15-dc0982nd.html
,"999,-",https://www.coolblue.nl/en/product/782753/apple-macbook-air-13-3-inches-2017-mqd32n-a.html
,"1.409,-",https://www.coolblue.nl/en/product/822536/apple-macbook-air-13-3-inches-2018-mrec2n-a-silver.html
,"2.489,-",https://www.coolblue.nl/en/product/816433/apple-macbook-pro-13-inch-touch-bar-2018-16-512gb-2-3ghz-space-gray.html
"1.169,-","1.099,-",https://www.coolblue.nl/en/product/813038/lenovo-legion-y530-15ich-81fv00gfmh.html
,"799,-",https://www.coolblue.nl/en/product/812989/lenovo-yoga-530-14ikb-81ek00hwmh.html
"729,-","699,-",https://www.coolblue.nl/en/product/819921/lenovo-ideapad-330s-15ikb-81f50108mh.html
,"899,-",https://www.coolblue.nl/en/product/824069/hp-pavilion-15-cs1960nd.html
,"1.409,-",https://www.coolblue.nl/en/product/822538/apple-macbook-air-13-3-inches-2018-mref2n-a-gold.html
"1.229,-","1.199,-",https://www.coolblue.nl/en/product/822535/apple-macbook-air-13-3-inches-2018-mrea2n-a-silver.html
,"699,-",https://www.coolblue.nl/en/product/813313/asus-zenbook-ux410ua-gv546t.html
,"1.059,-",https://www.coolblue.nl/en/product/825056/hp-probook-450-g6-i5-8gb-256ssd.html
"929,-","889,-",https://www.coolblue.nl/en/product/812991/lenovo-yoga-530-14ikb-81ek00g9mh.html
,"849,-",https://www.coolblue.nl/en/product/813081/hp-pavilion-x360-15-cr0950nd.html
"579,-","559,-",https://www.coolblue.nl/en/product/812666/acer-aspire-3-a315-41-r3eb.html
"409,-","389,-",https://www.coolblue.nl/en/product/811226/asus-vivobook-r417ba-fa182t.html
"569,-","529,-",https://www.coolblue.nl/en/product/813154/hp-14-ck0910nd.html
,"1.129,-",https://www.coolblue.nl/en/product/812691/acer-aspire-7-a715-72g-76wl.html
,"1.249,-",https://www.coolblue.nl/en/product/825217/asus-zenbook-ux433fa-a5155t.html
,"739,-",https://www.coolblue.nl/en/product/813173/hp-17-ca0992nd.html
"593,-","539,-",https://www.coolblue.nl/en/product/816158/microsoft-surface-go-8gb-128gb.html
,"2.039,15",https://www.coolblue.nl/en/product/816388/apple-macbook-pro-13-inches-touch-bar-2018-mr9r2n-a-space-gray.html
,"339,-",https://www.coolblue.nl/en/product/803795/asus-vivobook-r540na-dm087t.html
"859,-","849,-",https://www.coolblue.nl/en/product/813086/hp-pavilion-15-cs0972nd.html
"479,-","469,-",https://www.coolblue.nl/en/product/813311/asus-vivobook-r414ba-fa145t.html
"649,-","639,-",https://www.coolblue.nl/en/product/813156/hp-14-ck0950nd.html
"829,-","749,-",https://www.coolblue.nl/en/product/813314/asus-zenbook-ux410ua-gv298t.html
